0,wrd_length,total_char,syl_count,syl_sum,sentiment
"There now came a sharp whistling in the air from the south, and as they turned their eyes that way they saw ripples in the grass coming from that direction also.","[5, 3, 4, 1, 5, 9, 2, 3, 3, 4, 3, 5, 3, 2, 4, 6, 5, 4, 4, 3, 4, 3, 7, 2, 3, 5, 6, 4, 4, 9, 4]",129,[1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 2 1 1 3 2],35,-0.125
Suddenly Uncle Henry stood up.,"[8, 5, 5, 5, 2]",25,[3 1 2 1 1],8,0.0
"""There's a cyclone coming, Em,"" he called to his wife.","[5, 2, 1, 7, 6, 2, 2, 6, 2, 3, 4]",40,[1 0 1 2 2 1 1 1 1 1 1],12,0.0
"""I'll go look after the stock.""","[1, 3, 2, 4, 5, 3, 5]",23,[1 0 1 1 2 1 1],7,0.0
Then he ran toward the sheds where the cows and horses were kept.,"[4, 2, 3, 6, 3, 5, 5, 3, 4, 3, 6, 4, 4]",52,[1 1 1 2 1 1 1 1 1 1 1 1 1],14,0.0
Aunt Em dropped her work and came to the door.,"[4, 2, 7, 3, 4, 3, 4, 2, 3, 4]",36,[1 1 1 1 1 1 1 1 1 1],10,0.0
One glance told her of the danger close at hand.,"[3, 6, 4, 3, 2, 3, 6, 5, 2, 4]",38,[1 1 1 1 1 1 2 1 1 1],11,0.0
"""Quick, Dorothy!""","[5, 7]",12,[1 3],4,0.416666666667
she screamed.,"[3, 8]",11,[0 2],2,0.0
"""Run for the cellar!""","[3, 3, 3, 6]",15,[1 1 1 2],5,0.0
"Toto jumped out of Dorothy's arms and hid under the bed, and the girl started to get him.","[4, 6, 3, 2, 7, 2, 4, 3, 3, 5, 3, 3, 3, 3, 4, 7, 2, 3, 3]",70,[2 1 1 1 3 0 1 1 1 2 1 0 1 1 1 1 1 1 1],21,0.0
"Aunt Em, badly frightened, threw open the trap door in the floor and climbed down the ladder into the small, dark hole.","[4, 2, 5, 10, 5, 4, 3, 4, 4, 2, 3, 5, 3, 7, 4, 3, 6, 4, 3, 5, 4, 4]",94,[1 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1],27,-0.251111111111
Dorothy caught Toto at last and started to follow her aunt.,"[7, 6, 4, 2, 4, 3, 7, 2, 6, 3, 4]",48,[3 1 2 1 1 1 1 1 2 1 1],15,0.0
"When she was halfway across the room there came a great shriek from the wind, and the house shook so hard that she lost her footing and sat down suddenly upon the floor.","[4, 3, 3, 7, 6, 3, 4, 5, 4, 1, 5, 6, 4, 3, 4, 3, 3, 5, 5, 2, 4, 4, 3, 4, 3, 7, 3, 3, 4, 8, 4, 3, 5]",135,[1 0 1 2 2 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 0 1 1 2 1 1 1 3 2 1 1],39,0.0881944444444
Then a strange thing happened.,"[4, 1, 7, 5, 8]",25,[1 1 1 1 2],6,-0.05
The house whirled around two or three times and rose slowly through the air.,"[3, 5, 7, 6, 3, 2, 5, 5, 3, 4, 6, 7, 3, 3]",62,[1 1 1 2 1 1 1 1 1 1 2 1 1 1],16,0.15
Dorothy felt as if she were going up in a balloon.,"[7, 4, 2, 2, 3, 4, 5, 2, 2, 1, 7]",39,[3 1 1 1 0 1 1 1 1 1 2],13,0.0
"The north and south winds met where the house stood, and made it the exact center of the cyclone.","[3, 5, 3, 5, 5, 3, 5, 3, 5, 5, 3, 4, 2, 3, 5, 6, 2, 3, 7]",77,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 2],22,0.075
"In the middle of a cyclone the air is generally still, but the great pressure of the wind on every side of the house raised it up higher and higher, until it was at the very top of the cyclone; and there it remained and was carried miles and miles away as easily as you could carry a feather.","[2, 3, 6, 2, 1, 7, 3, 3, 2, 9, 5, 3, 3, 5, 8, 2, 3, 4, 2, 5, 4, 2, 3, 5, 6, 2, 2, 6, 3, 6, 5, 2, 3, 2, 3, 4, 3, 2, 3, 7, 3, 5, 2, 8, 3, 3, 7, 5, 3, 5, 4, 2, 6, 2, 3, 5, 5, 1, 7]",230,"[1 1 1 1 1 2 1 1 1 4 1 1 1 2 2 1 1 1 1 3 1 1 1 1 1 1 1 2 1 2 2 1 1 1 1 2 1
 1 1 2 1 1 1 2 1 1 2 1 1 1 2 1 4 1 1 1 2 1 3]",81,0.347619047619
"It was very dark, and the wind howled horribly around her, but Dorothy found she was riding quite easily.","[2, 3, 4, 4, 3, 3, 4, 6, 8, 6, 3, 3, 7, 5, 3, 3, 6, 5, 6]",84,[1 1 2 1 1 1 1 1 3 2 1 1 3 1 0 1 2 1 4],28,-0.253888888889
"After the first few whirls around, and one other time when the house tipped badly, she felt as if she were being rocked gently, like a baby in a cradle.","[5, 3, 5, 3, 6, 6, 3, 3, 5, 4, 4, 3, 5, 6, 5, 3, 4, 2, 2, 3, 4, 5, 6, 6, 4, 1, 4, 2, 1, 6]",119,[2 1 1 1 1 2 1 1 2 1 1 1 1 1 2 0 1 1 1 0 1 1 1 2 1 1 2 1 1 1],34,-0.115
Toto did not like it.,"[4, 3, 3, 4, 2]",16,[2 1 1 1 1],6,0.0
"He ran about the room, now here, now there, barking loudly; but Dorothy sat quite still on the floor and waited to see what would happen.","[2, 3, 5, 3, 4, 3, 4, 3, 5, 7, 6, 3, 7, 3, 5, 5, 2, 3, 5, 3, 6, 2, 3, 4, 5, 6]",107,[1 1 2 1 1 1 1 1 1 2 2 1 3 1 1 1 1 1 1 1 1 1 1 1 1 2],32,0.1
"Once Toto got too near the open trap door, and fell in; and at first the little girl thought she had lost him.","[4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 4, 2, 3, 2, 5, 3, 6, 4, 7, 3, 3, 4, 3]",85,[1 2 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1],25,0.040625
"But soon she saw one of his ears sticking up through the hole, for the strong pressure of the air was keeping him up so that he could not fall.","[3, 4, 3, 3, 3, 2, 3, 4, 8, 2, 7, 3, 4, 3, 3, 6, 8, 2, 3, 3, 3, 7, 3, 2, 2, 4, 2, 5, 3, 4]",112,[1 1 0 1 1 1 1 2 2 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1],33,0.433333333333
"She crept to the hole, caught Toto by the ear, and dragged him into the room again, afterward closing the trap door so that no more accidents could happen.","[3, 5, 2, 3, 4, 6, 4, 2, 3, 3, 3, 7, 3, 4, 3, 4, 5, 9, 7, 3, 4, 4, 2, 4, 2, 4, 9, 5, 6]",123,[0 1 1 1 1 1 2 1 1 2 1 1 1 2 1 1 2 3 2 1 1 1 1 1 1 1 3 1 2],38,-0.25
"Hour after hour passed away, and slowly Dorothy got over her fright; but she felt quite lonely, and the wind shrieked so loudly all about her that she nearly became deaf.","[4, 5, 4, 6, 4, 3, 6, 7, 3, 4, 3, 6, 3, 3, 4, 5, 6, 3, 3, 4, 8, 2, 6, 3, 5, 3, 4, 3, 6, 6, 4]",136,[1 2 1 1 2 1 2 3 1 2 1 1 1 0 1 1 3 1 1 1 2 1 2 1 2 1 1 0 3 2 2],44,-0.05
"At first she had wondered if she would be dashed to pieces when the house fell again; but as the hours passed and nothing terrible happened, she stopped worrying and resolved to wait calmly and see what the future would bring.","[2, 5, 3, 3, 8, 2, 3, 5, 2, 6, 2, 6, 4, 3, 5, 4, 5, 3, 2, 3, 5, 6, 3, 7, 8, 8, 3, 7, 8, 3, 8, 2, 4, 6, 3, 3, 4, 3, 6, 5, 5]",183,"[1 1 0 1 2 1 0 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 2 2 2 0 1 2 1 2 1 1 2 1 1 1
 1 2 1 1]",48,-0.1125
"At last she crawled over the swaying floor to her bed, and lay down upon it; and Toto followed and lay down beside her.","[2, 4, 3, 7, 4, 3, 7, 5, 2, 3, 3, 3, 3, 4, 4, 2, 3, 4, 8, 3, 3, 4, 6, 3]",93,[1 1 0 1 2 1 1 1 1 1 0 1 1 1 2 1 1 2 2 1 1 1 2 1],27,-0.103703703704
"In spite of the swaying of the house and the wailing of the wind, Dorothy soon closed her eyes and fell fast asleep.","[2, 5, 2, 3, 7, 2, 3, 5, 3, 3, 7, 2, 3, 4, 7, 4, 6, 3, 4, 3, 4, 4, 6]",92,[1 1 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 1 0 1 1 1 2],26,0.05
2.,[1],1,[0],0,0.0
"The Council with the Munchkins   She was awakened by a shock, so sudden and severe that if Dorothy had not been lying on the soft bed she might have been hurt.","[3, 7, 4, 3, 9, 3, 3, 8, 2, 1, 5, 2, 6, 3, 6, 4, 2, 7, 3, 3, 4, 5, 2, 3, 4, 3, 3, 5, 4, 4, 4]",125,[1 2 1 1 2 0 1 3 1 1 1 1 2 1 2 1 1 3 1 1 1 1 1 1 1 0 0 1 1 1 1],36,0.05
"As it was, the jar made her catch her breath and wonder what had happened; and Toto put his cold little nose into her face and whined dismally.","[2, 2, 3, 3, 3, 4, 3, 5, 3, 6, 3, 6, 4, 3, 8, 3, 4, 3, 3, 4, 6, 4, 4, 3, 4, 3, 6, 8]",113,[1 1 1 1 1 1 1 1 1 2 1 2 1 1 2 1 2 1 1 1 1 1 2 1 1 1 1 3],35,-0.39375
"Dorothy sat up and noticed that the house was not moving; nor was it dark, for the bright sunshine came in at the window, flooding the little room.","[7, 3, 2, 3, 7, 4, 3, 5, 3, 3, 6, 3, 3, 2, 4, 3, 3, 6, 8, 4, 2, 2, 3, 6, 8, 3, 6, 4]",116,[3 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 2 2 1 1 1],35,0.120833333333
She sprang from her bed and with Toto at her heels ran and opened the door.,"[3, 6, 4, 3, 3, 3, 4, 4, 2, 3, 5, 3, 3, 6, 3, 4]",59,[0 1 1 1 0 1 1 2 1 1 1 1 1 2 1 1],16,0.0
"The little girl gave a cry of amazement and looked about her, her eyes growing bigger and bigger at the wonderful sights she saw.","[3, 6, 4, 4, 1, 3, 2, 9, 3, 6, 5, 3, 3, 4, 7, 6, 3, 6, 2, 3, 9, 6, 3, 3]",104,[1 1 1 1 1 1 1 4 1 1 2 1 1 0 2 2 1 2 1 1 3 1 0 1],31,0.203125
The cyclone had set the house down very gently--for a cyclone--in the midst of a country of marvelous beauty.,"[3, 7, 3, 3, 3, 5, 4, 4, 6, 3, 1, 7, 2, 3, 5, 2, 1, 7, 2, 9, 6]",86,[1 2 1 1 1 1 1 2 2 1 1 2 1 1 1 1 1 2 1 3 3],30,0.348148148148
"There were lovely patches of greensward all about, with stately trees bearing rich and luscious fruits.","[5, 4, 6, 7, 2, 10, 3, 5, 4, 7, 5, 7, 4, 3, 8, 6]",86,[1 1 3 1 1 2 1 2 1 3 0 3 1 1 2 1],24,0.4375
"Banks of gorgeous flowers were on every hand, and birds with rare and brilliant plumage sang and fluttered in the trees and bushes.","[5, 2, 8, 7, 4, 2, 5, 4, 3, 5, 4, 4, 3, 9, 7, 4, 3, 9, 2, 3, 5, 3, 6]",107,[1 1 2 2 1 1 3 1 1 1 1 1 1 3 2 1 1 2 1 1 0 1 1],30,0.633333333333
"A little way off was a small brook, rushing and sparkling along between green banks, and murmuring in a voice very grateful to a little girl who had lived so long on the dry, gray prairies.","[1, 6, 3, 3, 3, 1, 5, 5, 7, 3, 9, 5, 7, 5, 5, 3, 9, 2, 1, 5, 4, 8, 2, 1, 6, 4, 3, 3, 5, 2, 4, 2, 3, 3, 4, 8]",150,[1 1 1 1 1 1 1 1 2 1 2 2 2 1 1 1 3 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2],46,-0.105952380952
"While she stood looking eagerly at the strange and beautiful sights, she noticed coming toward her a group of the queerest people she had ever seen.","[5, 3, 5, 7, 7, 2, 3, 7, 3, 9, 6, 3, 7, 6, 6, 3, 1, 5, 2, 3, 8, 6, 3, 3, 4, 4]",121,[1 0 1 2 4 1 1 1 1 4 1 0 2 2 2 1 1 1 1 1 2 1 0 1 2 1],35,0.4
They were not as big as the grown folk she had always been used to; but neither were they very small.,"[4, 4, 3, 2, 3, 2, 3, 5, 4, 3, 3, 6, 4, 4, 2, 3, 7, 4, 4, 4, 5]",79,[1 1 1 1 1 1 1 1 1 0 1 2 1 1 1 1 2 1 1 2 1],23,-0.1625
"In fact, they seemed about as tall as Dorothy, who was a well-grown child for her age, although they were, so far as looks go, many years older.","[2, 4, 4, 6, 5, 2, 4, 2, 7, 3, 3, 1, 10, 5, 3, 3, 3, 8, 4, 4, 2, 3, 2, 5, 2, 4, 5, 5]",111,[1 1 1 1 2 1 1 1 3 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 2 2 2],36,0.255555555556
"Three were men and one a woman, and all were oddly dressed.","[5, 4, 3, 3, 3, 1, 5, 3, 3, 4, 5, 7]",46,[1 1 1 1 1 1 2 1 1 1 2 1],14,-0.166666666667
"They wore round hats that rose to a small point a foot above their heads, with little bells around the brims that tinkled sweetly as they moved.","[4, 4, 5, 4, 4, 4, 2, 1, 5, 5, 1, 4, 5, 5, 5, 4, 6, 5, 6, 3, 5, 4, 7, 7, 2, 4, 5]",116,[1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 2 1 1 1 1 2 1 1 1],31,0.0520833333333
"The hats of the men were blue; the little woman's hat was white, and she wore a white gown that hung in pleats from her shoulders.","[3, 4, 2, 3, 3, 4, 4, 3, 6, 5, 2, 3, 3, 5, 3, 3, 4, 1, 5, 4, 4, 4, 2, 6, 4, 3, 9]",102,[1 1 1 1 1 1 0 1 1 2 0 1 1 1 1 0 1 1 1 1 1 1 1 2 1 1 2],27,-0.046875
Over it were sprinkled little stars that glistened in the sun like diamonds.,"[4, 2, 4, 9, 6, 5, 4, 9, 2, 3, 3, 4, 8]",63,[2 1 1 1 1 1 1 2 1 1 1 1 3],17,-0.1875
"The men were dressed in blue, of the same shade as their hats, and wore well-polished boots with a deep roll of blue at the tops.","[3, 3, 4, 7, 2, 4, 2, 3, 4, 5, 2, 5, 4, 3, 4, 13, 5, 4, 1, 4, 4, 2, 4, 2, 3, 4]",101,[1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 0 1 1 1],26,0.0
"The men, Dorothy thought, were about as old as Uncle Henry, for two of them had beards.","[3, 3, 7, 7, 4, 5, 2, 3, 2, 5, 5, 3, 3, 2, 4, 3, 6]",67,[1 1 3 1 1 2 1 1 1 1 2 1 1 1 1 1 2],22,0.1
But the little woman was doubtless much older.,"[3, 3, 6, 5, 3, 9, 4, 5]",38,[1 1 1 2 1 2 1 2],11,-0.0104166666667
"Her face was covered with wrinkles, her hair was nearly white, and she walked rather stiffly.","[3, 4, 3, 7, 4, 8, 3, 4, 3, 6, 5, 3, 3, 6, 6, 7]",75,[1 1 1 2 1 1 1 1 1 3 1 1 0 1 2 2],20,-0.107142857143
"When these people drew near the house where Dorothy was standing in the doorway, they paused and whispered among themselves, as if afraid to come farther.","[4, 5, 6, 4, 4, 3, 5, 5, 7, 3, 8, 2, 3, 7, 4, 6, 3, 9, 5, 10, 2, 2, 6, 2, 4, 7]",126,[1 1 1 1 2 1 1 1 3 1 2 1 1 2 1 1 1 2 2 2 1 1 2 1 1 2],36,-0.25
"But the little old woman walked up to Dorothy, made a low bow and said, in a sweet voice:  ""You are welcome, most noble Sorceress, to the land of the Munchkins.","[3, 3, 6, 3, 5, 6, 2, 2, 7, 4, 1, 3, 3, 3, 4, 2, 1, 5, 5, 3, 3, 7, 4, 5, 9, 2, 3, 4, 2, 3, 9]",122,[1 1 1 1 2 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 3 1 1 1 1 1 2],38,0.308928571429
"We are so grateful to you for having killed the Wicked Witch of the East, and for setting our people free from bondage.""","[2, 3, 2, 8, 2, 3, 3, 6, 6, 3, 6, 5, 2, 3, 4, 3, 3, 7, 3, 6, 4, 4, 7]",95,[1 1 1 3 1 1 1 2 1 1 1 1 1 1 2 1 1 2 1 1 1 1 2],29,0.1
Dorothy listened to this speech with wonder.,"[7, 8, 2, 4, 6, 4, 6]",37,[3 2 1 1 1 1 2],11,0.0
"What could the little woman possibly mean by calling her a sorceress, and saying she had killed the Wicked Witch of the East?","[4, 5, 3, 6, 5, 8, 4, 2, 7, 3, 1, 9, 3, 6, 3, 3, 6, 3, 6, 5, 2, 3, 4]",101,[1 1 1 1 2 3 2 1 2 1 1 3 1 1 0 1 1 1 1 1 1 1 2],30,-0.233333333333
"Dorothy was an innocent, harmless little girl, who had been carried by a cyclone many miles from home; and she had never killed anything in all her life.","[7, 3, 2, 8, 8, 6, 4, 3, 3, 4, 7, 2, 1, 7, 4, 5, 4, 4, 3, 3, 3, 5, 6, 8, 2, 3, 3, 4]",122,[3 1 1 3 2 1 1 1 1 1 2 1 1 2 2 1 1 1 1 0 1 2 1 3 1 1 1 1],38,0.228125
"But the little woman evidently expected her to answer; so Dorothy said, with hesitation, ""You are very kind, but there must be some mistake.","[3, 3, 6, 5, 9, 8, 3, 2, 6, 2, 7, 4, 4, 10, 3, 3, 4, 4, 3, 5, 4, 2, 4, 7]",111,[1 1 1 2 4 2 1 1 2 1 3 1 1 4 1 1 2 1 1 1 1 1 1 2],37,0.164166666667
"I have not killed anything.""","[1, 4, 3, 6, 8]",22,[1 1 1 1 3],7,0.1
"""Your house did, anyway,"" replied the little old woman, with a laugh, ""and that is the same thing.","[4, 5, 3, 6, 7, 3, 6, 3, 5, 4, 1, 5, 3, 4, 2, 3, 4, 5]",73,[1 1 1 3 2 1 1 1 2 1 1 1 1 1 1 1 1 1],22,0.053125
"See!""",[3],3,[1],1,0.0
"she continued, pointing to the corner of the house.","[3, 9, 8, 2, 3, 6, 2, 3, 5]",41,[0 2 2 1 1 2 1 1 1],11,0.0
"""There are her two feet, still sticking out from under a block of wood.""","[5, 3, 3, 3, 4, 5, 8, 3, 4, 5, 1, 5, 2, 4]",55,[1 1 1 1 1 1 2 1 1 2 1 1 1 1],16,0.0
"Dorothy looked, and gave a little cry of fright.","[7, 6, 3, 4, 1, 6, 3, 2, 6]",38,[3 1 1 1 1 1 1 1 1],11,-0.1875
"There, indeed, just under the corner of the great beam the house rested on, two feet were sticking out, shod in silver shoes with pointed toes.","[5, 6, 4, 5, 3, 6, 2, 3, 5, 4, 3, 5, 6, 2, 3, 4, 4, 8, 3, 4, 2, 6, 5, 4, 7, 4]",113,[1 1 1 2 1 2 1 1 2 2 1 1 1 1 1 1 1 2 1 1 1 2 0 1 1 0],30,0.8
"""Oh, dear!","[2, 4]",6,[1 2],3,0.0
"Oh, dear!""","[2, 4]",6,[1 2],3,0.0
"cried Dorothy, clasping her hands together in dismay.","[5, 7, 8, 3, 5, 8, 2, 6]",44,[1 3 2 1 1 3 1 2],14,0.0
"""The house must have fallen on her.","[3, 5, 4, 4, 6, 2, 3]",27,[1 1 1 1 2 1 1],8,0.0
"Whatever shall we do?""","[8, 5, 2, 2]",17,[3 1 1 1],6,0.0
"""There is nothing to be done,"" said the little woman calmly.","[5, 2, 7, 2, 2, 4, 4, 3, 6, 5, 6]",46,[1 1 2 1 1 1 1 1 1 2 2],14,0.05625
