0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
"The discovery of a means of negating, reversing or otherwise utilizing the immense force of gravitation for space flight purposes is now thought to be within the bounds of probability.","[3, 9, 2, 1, 5, 2, 8, 9, 2, 9, 9, 3, 7, 5, 2, 11, 3, 5, 6, 8, 2, 3, 7, 2, 2, 6, 3, 6, 2, 11]",153,"[1, 4, 1, 1, 2, 1, 3, 3, 1, 3, 4, 1, 2, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 5]",53,0.0,4,0,0,3
"It should occur some time within the next hundred years, possibly in even the short period I assume here.","[2, 6, 5, 4, 4, 6, 3, 4, 7, 5, 8, 2, 4, 3, 5, 6, 1, 6, 4]",85,"[1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 3, 1, 2, 1, 1, 2, 1, 2, 1]",27,0.0,2,0,0,0
"Once solved, the severe handicaps imposed on space exploration by the weight and chemical limitations of rockets would no longer apply.","[4, 6, 3, 6, 9, 7, 2, 5, 11, 2, 3, 6, 3, 8, 11, 2, 7, 5, 2, 6, 5]",113,"[1, 1, 1, 2, 3, 2, 1, 1, 4, 1, 1, 1, 1, 3, 4, 1, 2, 1, 1, 2, 2]",36,0.0,4,0,0,3
"The whole timetable of our conquest of the planets in our solar system would be tremendously speeded up, from hot Mercury all the way out to frigid Pluto.","[3, 5, 9, 2, 3, 8, 2, 3, 7, 2, 3, 5, 6, 5, 2, 12, 7, 2, 4, 3, 7, 3, 3, 3, 3, 2, 6, 5]",125,"[1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 4, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2]",41,-0.0291666666667,4,0,0,3
"In describing the visits of the spaceship _Magellan_ to the planets, I have endeavored to adhere to known facts and the more reasonable assumptions about each of these worlds.","[2, 10, 3, 6, 2, 3, 9, 8, 2, 3, 7, 1, 4, 10, 2, 6, 2, 5, 5, 3, 3, 4, 10, 11, 5, 4, 2, 5, 6]",143,"[1, 3, 1, 2, 1, 1, 3, 3, 1, 1, 2, 1, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 4, 3, 2, 2, 1, 1, 1]",48,0.35,19,0,0,3
"The planet Pluto, however, deserves further comment, occupying as it does both an important role in this adventure and a unique one in actual astronomical lore.","[3, 6, 5, 7, 8, 7, 7, 9, 2, 2, 4, 4, 2, 9, 4, 2, 4, 9, 3, 1, 6, 3, 2, 6, 12, 4]",131,"[1, 2, 2, 3, 2, 2, 2, 3, 1, 1, 0, 1, 1, 3, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 5, 1]",44,0.19375,19,0,0,3
"Back at the dawn of this century, many astronomers, and notably Dr. Percival Lowell, studied certain irregularities in the orbit and motion of Neptune, at that time believed to be the outermost planet.","[4, 2, 3, 4, 2, 4, 7, 4, 11, 3, 7, 2, 8, 6, 7, 7, 14, 2, 3, 5, 3, 6, 2, 7, 2, 4, 4, 8, 2, 2, 3, 9, 6]",163,"[1, 1, 1, 1, 1, 1, 3, 2, 4, 1, 3, 0, 3, 2, 2, 2, 6, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 3, 2]",58,0.303571428571,19,0,0,3
"They decided that these eccentricities (or perturbations, as they are called) could only be caused by the presence of another, yet undiscovered planet beyond Neptune.","[4, 7, 4, 5, 14, 2, 13, 2, 4, 3, 6, 5, 4, 2, 6, 2, 3, 8, 2, 7, 3, 12, 6, 6, 7]",137,"[1, 2, 1, 1, 5, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 3, 1, 4, 2, 1, 2]",42,0.0,4,0,0,3
"Following this line of research, a young astronomer, Dr. Clyde Tombaugh, working at Lowell's own observatory, was able to announce on March 13, 1930, that he had finally found this ninth world, which he named Pluto.","[9, 4, 4, 2, 8, 1, 5, 10, 2, 5, 8, 7, 2, 6, 2, 3, 11, 3, 4, 2, 8, 2, 5, 2, 4, 4, 2, 3, 7, 5, 4, 5, 5, 5, 2, 5, 5]",171,"[3, 1, 1, 1, 3, 1, 1, 4, 0, 1, 2, 2, 1, 2, 0, 1, 5, 1, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2]",51,0.24,19,0,0,3
"In the years that have followed, Pluto has proven to be a truly puzzling planet.","[2, 3, 5, 4, 4, 8, 5, 3, 6, 2, 2, 1, 5, 8, 6]",64,"[1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2]",22,0.0,15,1,1,0
"Unlike its neighbors from Jupiter outward, it is not a giant world, light and gaseous in nature.","[6, 3, 9, 4, 7, 7, 2, 2, 3, 1, 5, 5, 5, 3, 7, 2, 6]",77,"[2, 1, 2, 1, 3, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2]",25,0.2,16,0,0,2
"Instead, it belongs physically to the small, dense inner planets of which Earth is one.","[7, 2, 7, 10, 2, 3, 5, 5, 5, 7, 2, 5, 5, 2, 3]",70,"[3, 1, 2, 4, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1]",24,-0.0833333333333,15,1,1,0
"The latest viewpoint on this planet, whose size and weight seem quite like those of Earth, is that it may not be a true child of the Sun, but an outsider captured as it roamed the trackless realms of galactic space.","[3, 6, 9, 2, 4, 6, 5, 4, 3, 6, 4, 5, 4, 5, 2, 5, 2, 4, 2, 3, 3, 2, 1, 4, 5, 2, 3, 3, 3, 2, 8, 8, 2, 2, 6, 3, 9, 6, 2, 8, 5]",171,"[1, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 2, 2, 1, 3, 1]",52,0.425,19,0,0,3
"Its orbit is highly eccentric and rather lopsided, taking it as far away from the Sun as four and a half billion miles and as close to the Sun as two and three-quarter billion miles, thereby cutting inside the orbit of Neptune itself.","[3, 5, 2, 6, 9, 3, 6, 8, 6, 2, 2, 3, 4, 4, 3, 3, 2, 4, 3, 1, 4, 7, 5, 3, 2, 5, 2, 3, 3, 2, 3, 3, 13, 7, 5, 7, 7, 6, 3, 5, 2, 7, 6]",189,"[1, 2, 1, 2, 3, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 3, 2, 2, 1, 2, 1, 2, 2]",62,-0.166666666667,12,0,0,3
"In fact, during the period from 1969 to 2009 (covering most of the lifetimes of the younger readers of this book) Pluto will not be the ninth planet, but the eighth, for it will be at its closest in those years.","[2, 4, 6, 3, 6, 4, 4, 2, 4, 8, 4, 2, 3, 9, 2, 3, 7, 7, 2, 4, 4, 5, 4, 3, 2, 3, 5, 6, 3, 3, 6, 3, 2, 4, 2, 2, 3, 7, 2, 5, 5]",165,"[1, 1, 2, 1, 2, 1, 0, 1, 0, 3, 1, 1, 1, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2]",52,0.25,19,0,0,3
Huge Neptune will thus regain temporarily the title of being the Sun's farthest outpost!,"[4, 7, 4, 4, 6, 11, 3, 5, 2, 5, 3, 3, 2, 8, 7]",74,"[1, 2, 1, 1, 2, 5, 1, 1, 1, 1, 1, 1, 0, 2, 2]",22,0.5,11,0,0,2
This orbital eccentricity has lead some astronomers to speculate on the possibility that Pluto may once have been briefly held as a satellite of Neptune.,"[4, 7, 12, 3, 4, 4, 11, 2, 9, 2, 3, 11, 4, 5, 3, 4, 4, 4, 7, 4, 2, 1, 9, 2, 7]",128,"[1, 3, 5, 1, 2, 1, 4, 1, 3, 1, 1, 5, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 2]",47,0.0,4,0,0,3
"And following that line of thought, the possibility also has been suggested that Neptune's larger moon, Triton, may once have been a companion of Pluto which failed to break away from Neptune's grip!","[3, 9, 4, 4, 2, 7, 3, 11, 4, 3, 4, 9, 4, 7, 2, 6, 4, 6, 3, 4, 4, 4, 1, 9, 2, 5, 5, 6, 2, 5, 4, 4, 7, 2, 4]",163,"[1, 3, 1, 1, 1, 1, 1, 5, 2, 1, 1, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 2, 2, 1, 2, 0, 1]",50,-0.208333333333,12,0,0,3
I think that the first men to land on Pluto are going to make some very astonishing discoveries.,"[1, 5, 4, 3, 5, 3, 2, 4, 2, 5, 3, 5, 2, 4, 4, 4, 11, 11]",78,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 4, 4]",26,0.45,11,0,0,2
But I am also sure that they will never go there in rockets.,"[3, 1, 2, 4, 4, 4, 4, 4, 5, 2, 5, 2, 7]",47,"[1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2]",16,0.5,17,1,1,2
They will have to make the immense trip by some more powerful means--like the anti-gravitational drive.,"[4, 4, 4, 2, 4, 3, 7, 4, 2, 4, 4, 8, 5, 4, 3, 18, 5]",85,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 2, 1, 1, 7, 1]",27,0.266666666667,16,0,0,2
D.A.W.,[5],5,[1],1,0.0,10,1,1,1
_The Secret of the Ninth Planet_     Chapter 1.,"[3, 6, 2, 3, 5, 6, 7, 1]",33,"[1, 2, 1, 1, 1, 2, 2, 0]",10,-0.4,8,1,1,1
"_Special Delivery--by Guided Missile_   On the morning that the theft of the solar system's sunlight began, Burl Denning woke up in his sleeping bag in the Andes, feeling again the exhilaration of the keen, rarefied, mountain air.","[7, 8, 2, 6, 7, 2, 3, 7, 4, 3, 5, 2, 3, 5, 6, 2, 8, 5, 4, 7, 4, 2, 2, 3, 8, 3, 2, 3, 5, 7, 5, 3, 12, 2, 3, 4, 8, 8, 3]",183,"[3, 4, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 0, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 5, 1, 1, 1, 3, 2, 1]",60,0.357142857143,19,0,0,3
"He glanced at the still sleeping forms of his father and the other members of the Denning expedition, and sat up, enjoying the first rays of the early morning.","[2, 7, 2, 3, 5, 8, 5, 2, 3, 6, 3, 3, 5, 7, 2, 3, 7, 10, 3, 3, 2, 8, 3, 5, 4, 2, 3, 5, 7]",128,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 2]",41,0.18125,1,0,0,3
"The llamas were already awake, moving restlessly back and forth on their padded feet, waiting for their tender to arise and unleash them.","[3, 6, 4, 7, 5, 6, 10, 4, 3, 5, 2, 5, 6, 4, 7, 3, 5, 6, 2, 5, 3, 7, 4]",112,"[1, 2, 1, 4, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 3, 1]",36,0.0,4,0,0,3
"The mules were standing patiently as ever, staring quietly into the distant misty panorama of the mountains.","[3, 5, 4, 8, 9, 2, 4, 7, 7, 4, 3, 7, 5, 8, 2, 3, 9]",90,"[1, 1, 1, 2, 4, 1, 2, 2, 3, 2, 1, 2, 2, 4, 1, 1, 2]",32,-0.05,2,0,0,0
"It was, thought Burl, a dim day, but this he supposed was due to the earliness of the morning.","[2, 3, 7, 4, 1, 3, 3, 3, 4, 2, 8, 3, 3, 2, 3, 9, 2, 3, 7]",72,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 4, 1, 1, 2]",23,-0.0125,15,1,1,0
"As the Sun rose, it would rapidly bring the temperatures up, and its unshielded rays would force them to cover up as they climbed along the high mountain passes.","[2, 3, 3, 4, 2, 5, 7, 5, 3, 12, 2, 3, 3, 10, 4, 5, 5, 4, 2, 5, 2, 2, 4, 7, 5, 3, 4, 8, 6]",130,"[1, 1, 1, 1, 1, 1, 3, 1, 1, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1]",39,0.38,19,0,0,3
The sky was cloudless as usual.,"[3, 3, 3, 9, 2, 5]",25,"[1, 1, 1, 2, 1, 2]",8,-0.075,10,1,1,1
"Burl assumed that the dimness was due to volcanic dust, or some unseen high cloud far away.","[4, 7, 4, 3, 7, 3, 3, 2, 8, 4, 2, 4, 6, 4, 5, 3, 4]",73,"[1, 2, 1, 1, 2, 1, 0, 1, 3, 1, 1, 1, 2, 1, 1, 1, 2]",22,0.045,15,1,1,0
"And, indeed, as the expedition came to life, and the day began in earnest, nobody paid any attention to the fact that the Sun was not quite so warm as it should have been.","[3, 6, 2, 3, 10, 4, 2, 4, 3, 3, 3, 5, 2, 7, 6, 4, 3, 9, 2, 3, 4, 4, 3, 3, 3, 3, 5, 2, 4, 2, 2, 6, 4, 4]",133,"[1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 1, 3, 3, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",45,0.6,11,0,0,2
"The Denning expedition, questing among the untracked and forgotten byways of the lost Inca ruins in the vast, jagged mountains of inland Peru, was not alone in failing to notice the subtle channeling away of the Sun's warmth and brilliance.","[3, 7, 10, 8, 5, 3, 9, 3, 9, 6, 2, 3, 4, 4, 5, 2, 3, 4, 6, 9, 2, 6, 4, 3, 3, 5, 2, 7, 2, 6, 3, 6, 10, 4, 2, 3, 3, 2, 6, 3, 10]",197,"[1, 2, 4, 2, 2, 1, 2, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 0, 1, 1, 3]",62,-0.161111111111,12,0,0,3
"They were, in this respect, one with virtually the entire population of Earth.","[4, 4, 2, 4, 7, 3, 4, 9, 3, 6, 10, 2, 5]",63,"[1, 1, 1, 1, 2, 1, 1, 3, 1, 2, 4, 1, 2]",21,0.0,15,1,1,0
"In New York, in San Francisco, in Philadelphia and Kansas City, people going about their day's chores simply assumed that there must be clouds somewhere--the temperature only slightly less than normal for a July day.","[2, 3, 4, 2, 3, 9, 2, 12, 3, 6, 4, 6, 5, 5, 5, 3, 2, 6, 6, 7, 4, 5, 4, 2, 6, 9, 3, 11, 4, 8, 4, 4, 6, 3, 1, 4, 3]",176,"[1, 1, 1, 1, 1, 3, 1, 5, 1, 2, 2, 1, 1, 2, 1, 1, 0, 1, 2, 2, 1, 1, 1, 1, 1, 3, 1, 4, 2, 2, 1, 1, 2, 1, 1, 2, 1]",56,0.0239393939394,12,0,0,3
"A few men shaded their eyes and looked about, noticing that the heat was not so intense--and thought it a blessing.","[1, 3, 3, 6, 5, 4, 3, 6, 5, 8, 4, 3, 4, 3, 3, 2, 7, 3, 7, 2, 1, 8]",91,"[1, 1, 1, 1, 1, 0, 1, 1, 2, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2]",27,-0.2,18,0,0,0
"In some places in Europe, there were clouds and a little rain, and the dimness was ascribed to this.","[2, 4, 6, 2, 6, 5, 4, 6, 3, 1, 6, 4, 3, 3, 7, 3, 8, 2, 4]",79,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]",22,-0.1875,18,1,1,0
"It was raining in much of Asia, and there were scattered afternoon showers throughout Latin America, which were standard for the season.","[2, 3, 7, 2, 4, 2, 4, 3, 5, 4, 9, 9, 7, 10, 5, 7, 5, 4, 8, 3, 3, 6]",112,"[1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 2, 3, 2, 2, 2, 4, 1, 1, 2, 1, 1, 3]",37,0.1,1,0,0,3
There was a flurry of snow in Melbourne and a cold blow in Santiago de Chile.,"[5, 3, 1, 6, 2, 4, 2, 9, 3, 1, 4, 4, 2, 8, 2, 5]",61,"[1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 4, 1, 1]",21,-0.6,8,1,1,0
"The men in the weather bureaus noted on their day's charts that temperatures were a few degrees lower than had been predicted, but that was nothing unusual.","[3, 3, 2, 3, 7, 7, 5, 2, 5, 3, 2, 6, 4, 12, 4, 1, 3, 7, 5, 4, 3, 4, 9, 3, 4, 3, 7, 7]",128,"[1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 0, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 3]",39,0.0,4,0,0,3
"Weather was still not entirely predictable, even with the advances of meteorology that were to be expected of the latter years of the twentieth century.","[7, 3, 5, 3, 8, 11, 4, 4, 3, 8, 2, 11, 4, 4, 2, 2, 8, 2, 3, 6, 5, 2, 3, 9, 7]",126,"[3, 1, 1, 1, 4, 3, 2, 1, 1, 2, 1, 5, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 3, 3]",45,0.0,4,0,0,3
The world was reading about other things than the vagaries of the weather.,"[3, 5, 3, 7, 5, 5, 6, 4, 3, 8, 2, 3, 7]",61,"[1, 1, 1, 3, 2, 2, 1, 1, 1, 3, 1, 1, 3]",21,-0.125,15,1,1,0
"In the United States, baseball occupied the headlines, and the nonathletic-minded could find some speculative interest in the completion of another manned space platform racing along in its eternal orbit twelve thousand miles away from Earth's surface.","[2, 3, 6, 6, 8, 8, 3, 9, 3, 3, 18, 5, 4, 4, 11, 8, 2, 3, 10, 2, 7, 6, 5, 8, 6, 5, 2, 3, 7, 5, 6, 8, 5, 4, 4, 5, 2, 7]",213,"[1, 1, 2, 1, 3, 3, 1, 3, 1, 1, 5, 1, 1, 1, 4, 3, 1, 1, 3, 1, 3, 1, 1, 2, 2, 2, 1, 1, 3, 2, 1, 2, 1, 2, 1, 2, 0, 2]",67,0.0,12,0,0,3
The U.S.,"[3, 3]",6,"[1, 1]",2,0.0,10,1,1,1
Moon Base in the center of the Crater Ptolemaeus had described the appearance of this platform in an interesting radio dispatch which appeared on the first pages of most newspapers.,"[4, 4, 2, 3, 6, 2, 3, 6, 10, 3, 9, 3, 10, 2, 4, 8, 2, 2, 11, 5, 8, 5, 8, 2, 3, 5, 5, 2, 4, 10]",151,"[1, 1, 1, 1, 2, 1, 1, 2, 3, 1, 2, 1, 4, 1, 1, 2, 1, 1, 4, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 3]",48,0.07,4,0,0,3
The third prober rocket sent to Venus had been unreported for the tenth day after penetrating the clouds that hid that planet's surface from human eyes.,"[3, 5, 6, 6, 4, 2, 5, 3, 4, 10, 3, 3, 5, 3, 5, 11, 3, 6, 4, 3, 4, 6, 2, 7, 4, 5, 4]",126,"[1, 1, 2, 2, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 2, 4, 1, 1, 1, 1, 1, 2, 0, 2, 1, 2, 0]",37,0.0,4,0,0,3
"It was, like its two predecessors, a minimum-sized, unmanned instrument device designed to penetrate the clouds and radio back data on the nature of the Venusian atmosphere and the surface.","[2, 3, 4, 3, 3, 12, 1, 13, 8, 10, 6, 8, 2, 9, 3, 6, 3, 5, 4, 4, 2, 3, 6, 2, 3, 8, 10, 3, 3, 7]",156,"[1, 1, 1, 1, 1, 4, 1, 4, 2, 3, 2, 2, 1, 3, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 4, 3, 1, 1, 2]",52,0.0,4,0,0,3
"But after its first report, nothing more had been heard.","[3, 5, 3, 5, 6, 7, 4, 3, 4, 5]",45,"[1, 2, 1, 1, 2, 2, 1, 1, 1, 2]",14,0.375,17,1,1,2
Some discussion was going on in science circles about what had happened.,"[4, 10, 3, 5, 2, 2, 7, 7, 5, 4, 3, 8]",60,"[1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2]",17,0.0,15,1,1,0
"Speculation centered on the possible success of other types of prober rockets, but it was universally agreed that the time had not come when a manned rocket could safely undertake the difficult trip to Venus and return.","[11, 8, 2, 3, 8, 7, 2, 5, 5, 2, 6, 7, 3, 2, 3, 11, 6, 4, 3, 4, 3, 3, 4, 4, 1, 6, 6, 5, 6, 9, 3, 9, 4, 2, 5, 3, 6]",181,"[4, 2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 3, 1, 3, 1, 1, 2, 1, 2]",59,0.0291666666667,12,0,0,3
"The years of space flight since the orbiting of Sputnik I back in 1957 had produced many fascinating results, but they had also brought a realization of the many problems that surrounded the use of rockets for space flight.","[3, 5, 2, 5, 6, 5, 3, 8, 2, 7, 1, 4, 2, 4, 3, 8, 4, 11, 7, 3, 4, 3, 4, 7, 1, 11, 2, 3, 4, 8, 4, 10, 3, 3, 2, 7, 3, 5, 6]",183,"[1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 0, 1, 2, 2, 4, 2, 1, 1, 1, 2, 1, 1, 5, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1]",57,0.425,19,0,0,3
It was generally believed that no one should risk a manned flight until absolutely everything possible that could be learned by robot and radio-controlled missiles had been learned.,"[2, 3, 9, 8, 4, 2, 3, 6, 4, 1, 6, 6, 5, 10, 10, 8, 4, 5, 2, 7, 2, 5, 3, 16, 8, 3, 4, 7]",153,"[1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 4, 2, 1, 1, 1, 2, 1, 2, 1, 4, 2, 1, 1, 2]",49,0.0833333333333,4,0,0,3
